l	N	T	j	eps
4.90	154223	5.00	30844.60	0.0025
4.90	154349	5.00	30869.80	0.0025
4.90	153851	5.00	30770.20	0.0025
9.40	87959	5.00	17591.80	0.0034
9.40	87908	5.00	17581.60	0.0034
9.40	175487	10.00	17548.70	0.0024
9.40	176045	10.00	17604.50	0.0024
9.40	176275	10.00	17627.50	0.0024
14.10	101158	10.00	10115.80	0.0031
14.10	100264	10.00	10026.40	0.0032
14.10	100995	10.00	10099.50	0.0031
14.10	100581	10.00	10058.10	0.0032
14.10	150566	15.00	10037.73	0.0026
14.10	151122	15.00	10074.80	0.0026
14.10	151013	15.00	10067.53	0.0026
19.00	57203	10.00	5720.30	0.0042
19.00	57632	10.00	5763.20	0.0042
19.00	57677	10.00	5767.70	0.0042
19.00	57327	10.00	5732.70	0.0042
19.00	114967	20.00	5748.35	0.0029
19.00	114967	20.00	5748.35	0.0029
19.00	114786	20.00	5739.30	0.0030
19.00	115350	20.00	5767.50	0.0029
23.40	139069	40.00	3476.72	0.0027
23.40	139882	40.00	3497.05	0.0027
23.40	149525	40.00	3738.12	0.0026
23.40	139448	40.00	3486.20	0.0027
28.40	118268	60.00	1971.13	0.0029
28.40	118603	60.00	1976.72	0.0029
28.40	118411	60.00	1973.52	0.0029
