l	N	T	j	eps
20.00	397087	10.00	39708.70	0.0016
20.00	395226	10.00	39522.60	0.0016
20.00	393824	10.00	39382.40	0.0016
20.00	393659	10.00	39365.90	0.0016
20.00	392411	10.00	39241.10	0.0016
40.00	261903	10.00	26190.30	0.0020
40.00	262117	10.00	26211.70	0.0020
40.00	261144	10.00	26114.40	0.0020
40.00	263109	10.00	26310.90	0.0019
60.00	178415	10.00	17841.50	0.0024
60.00	178235	10.00	17823.50	0.0024
60.00	178592	10.00	17859.20	0.0024
80.00	118473	10.00	11847.30	0.0029
80.00	119343	10.00	11934.30	0.0029
80.00	118723	10.00	11872.30	0.0029
80.00	119160	10.00	11916.00	0.0029
100.00	119824	15.00	7988.27	0.0029
100.00	119194	15.00	7946.27	0.0029
100.00	119796	15.00	7986.40	0.0029
100.00	120411	15.00	8027.40	0.0029
120.00	135527	25.00	5421.08	0.0027
120.00	136014	25.00	5440.56	0.0027
120.00	136237	25.00	5449.48	0.0027
