l	N	T	j	eps
10.00	159729	5.00	31945.80	0.0025
10.00	160605	5.00	32121.00	0.0025
10.00	160078	5.00	32015.60	0.0025
10.00	160183	5.00	32036.60	0.0025
20.00	180172	10.00	18017.20	0.0024
20.00	181042	10.00	18104.20	0.0024
20.00	181108	10.00	18110.80	0.0023
20.00	180553	10.00	18055.30	0.0024
30.00	134634	13.00	10356.46	0.0027
30.00	135348	13.00	10411.38	0.0027
30.00	134692	13.00	10360.92	0.0027
30.00	135327	13.00	10409.77	0.0027
30.00	134346	13.00	10334.31	0.0027
40.00	118055	20.00	5902.75	0.0029
40.00	118131	20.00	5906.55	0.0029
40.00	118818	20.00	5940.90	0.0029
40.00	118055	20.00	5902.75	0.0029
50.00	175466	50.00	3509.32	0.0024
50.00	175306	50.00	3506.12	0.0024
50.00	176161	50.00	3523.22	0.0024
60.00	123219	60.00	2053.65	0.0028
60.00	123527	60.00	2058.78	0.0028
60.00	123858	60.00	2064.30	0.0028
60.00	124654	60.00	2077.57	0.0028
60.00	123929	60.00	2065.48	0.0028
